model_label,mean_final_steps,mean_final_reward
Hindsight bound,10.13611111,0.3926932861
Hindsight bound,10.13888889,0.3927309139
Hindsight bound,10.14166667,0.3927791667
Hindsight bound,10.14444444,0.3928424944
Hindsight bound,10.14722222,0.3928831139
Hindsight bound,10.15,0.3929214194
Hindsight bound,10.15277778,0.3929672556
Hindsight bound,10.15555556,0.393007875
Hindsight bound,10.15833333,0.3930461806
Hindsight bound,10.16111111,0.3930824111
Hindsight bound,10.16388889,0.3931296306
Hindsight bound,10.16666667,0.3931929583
Hindsight bound,10.16944444,0.3932335778
Hindsight bound,10.17222222,0.3932718833
Hindsight bound,10.175,0.3933177194
Hindsight bound,10.17777778,0.3933583389
Hindsight bound,10.18055556,0.3933966444
Hindsight bound,10.18333333,0.393432875
Hindsight bound,10.18611111,0.3934734944
Hindsight bound,10.18888889,0.3935118
Hindsight bound,10.19166667,0.3935471194
Hindsight bound,10.19444444,0.393585425
Hindsight bound,10.19722222,0.3936132722
Hindsight bound,10.2,0.3936509833
Hindsight bound,10.20277778,0.3936897667
Hindsight bound,10.20555556,0.3937280722
Hindsight bound,10.20833333,0.3937643028
Hindsight bound,10.21111111,0.3938049222
Hindsight bound,10.21388889,0.3938432278
Hindsight bound,10.21666667,0.3938785472
Hindsight bound,10.21944444,0.3939168528
Hindsight bound,10.22222222,0.3939447
Hindsight bound,10.225,0.3939824111
Hindsight bound,10.22777778,0.3940177306
Hindsight bound,10.23055556,0.3940560361
Hindsight bound,10.23333333,0.3940931111
Hindsight bound,10.23611111,0.3941385056
Hindsight bound,10.23888889,0.3942018333
Hindsight bound,10.24166667,0.3942429972
Hindsight bound,10.24444444,0.3943009861
Hindsight bound,10.24722222,0.3943508444
Hindsight bound,10.25,0.3944141722
Hindsight bound,10.25277778,0.3944547917
Hindsight bound,10.25555556,0.3944930972
Hindsight bound,10.25833333,0.3945444611
Hindsight bound,10.26111111,0.3946046778
Hindsight bound,10.26388889,0.3946626667
Hindsight bound,10.26666667,0.3947032861
Hindsight bound,10.26944444,0.3947415917
Hindsight bound,10.27222222,0.3947898444
Hindsight bound,10.275,0.3948531722
Hindsight bound,10.27777778,0.3948937917
Hindsight bound,10.28055556,0.3949320972
Hindsight bound,10.28333333,0.3949779333
Hindsight bound,10.28611111,0.3950185528
Hindsight bound,10.28888889,0.3950568583
Hindsight bound,10.29166667,0.3950944861
Hindsight bound,10.29444444,0.3951427389
Hindsight bound,10.29722222,0.3952060667
Hindsight bound,10.3,0.3952466861
Hindsight bound,10.30277778,0.3952849917
Hindsight bound,10.30555556,0.3953308278
Hindsight bound,10.30833333,0.3953714472
Hindsight bound,10.31111111,0.3954097528
Hindsight bound,10.31388889,0.3954459833
Hindsight bound,10.31666667,0.3954932028
Hindsight bound,10.31944444,0.3955565306
Hindsight bound,10.32222222,0.39559715
Hindsight bound,10.325,0.3956354556
Hindsight bound,10.32777778,0.3956812917
Hindsight bound,10.33055556,0.3957219111
Hindsight bound,10.33333333,0.3957602167
Hindsight bound,10.33611111,0.3957964472
Hindsight bound,10.33888889,0.3958370667
Hindsight bound,10.34166667,0.3958753722
Hindsight bound,10.34444444,0.3959106917
Hindsight bound,10.34722222,0.3959489972
Hindsight bound,10.35,0.3959768444
Hindsight bound,10.35277778,0.3960145556
Hindsight bound,10.35555556,0.3960533389
Hindsight bound,10.35833333,0.3960916444
Hindsight bound,10.36111111,0.396127875
Hindsight bound,10.36388889,0.3961684944
Hindsight bound,10.36666667,0.3962068
Hindsight bound,10.36944444,0.3962421194
Hindsight bound,10.37222222,0.396280425
Hindsight bound,10.375,0.3963082722
Hindsight bound,10.37777778,0.3963459833
Hindsight bound,10.38055556,0.3963813028
Hindsight bound,10.38333333,0.3964196083
Hindsight bound,10.38611111,0.3964474556
Hindsight bound,10.38888889,0.3964718389
Hindsight bound,10.39166667,0.3964996861
Hindsight bound,10.39444444,0.3965345944
Hindsight bound,10.39722222,0.3965717444
Hindsight bound,10.4,0.3965995917
Hindsight bound,10.40277778,0.3966241194
Hindsight bound,10.40555556,0.3966518222
Hindsight bound,10.40833333,0.3966867306
Hindsight bound,10.41111111,0.3967145778
Hindsight bound,10.41388889,0.3967484083
Hindsight bound,10.41666667,0.3967762556
Hindsight bound,10.41944444,0.3968006389
Hindsight bound,10.42222222,0.3968284861
Hindsight bound,10.425,0.3968633944
Hindsight bound,10.42777778,0.3968912417
Hindsight bound,10.43055556,0.396915625
Hindsight bound,10.43333333,0.3969434722
Hindsight bound,10.43611111,0.396967375
Hindsight bound,10.43888889,0.3970022833
Hindsight bound,10.44166667,0.3970301306
Hindsight bound,10.44444444,0.3970545139
Hindsight bound,10.44722222,0.3970823611
Hindsight bound,10.45,0.3971025944
Hindsight bound,10.45277778,0.3971269778
Hindsight bound,10.45555556,0.397154825
Hindsight bound,10.45833333,0.3971782917
Hindsight bound,10.46111111,0.3971999444
Hindsight bound,10.46388889,0.3972243278
Hindsight bound,10.46666667,0.397252175
Hindsight bound,10.46944444,0.3972739833
Hindsight bound,10.47222222,0.3972967917
Hindsight bound,10.475,0.3973246389
Hindsight bound,10.47777778,0.3973481056
Hindsight bound,10.48055556,0.3973683389
Hindsight bound,10.48333333,0.3973927222
Hindsight bound,10.48611111,0.3974205694
Hindsight bound,10.48888889,0.3974437972
Hindsight bound,10.49166667,0.3974640306
Hindsight bound,10.49444444,0.3974884139
Hindsight bound,10.49722222,0.3975162611
Hindsight bound,10.5,0.3975317583
Hindsight bound,10.50277778,0.3975508417
Hindsight bound,10.50555556,0.397575225
Hindsight bound,10.50833333,0.3976030722
Hindsight bound,10.51111111,0.3976185694
Hindsight bound,10.51388889,0.3976452528
Hindsight bound,10.51666667,0.3976610806
Hindsight bound,10.51944444,0.3976850194
Hindsight bound,10.52222222,0.3977056972
Hindsight bound,10.525,0.3977335444
Hindsight bound,10.52777778,0.3977490417
Hindsight bound,10.53055556,0.397768125
Hindsight bound,10.53333333,0.3977925083
Hindsight bound,10.53611111,0.3978203556
Hindsight bound,10.53888889,0.3978358528
Hindsight bound,10.54166667,0.3978625361
Hindsight bound,10.54444444,0.3978780333
Hindsight bound,10.54722222,0.3979023028
Hindsight bound,10.55,0.3979215
Hindsight bound,10.55277778,0.3979493472
Hindsight bound,10.55555556,0.3979648444
Hindsight bound,10.55833333,0.3979790639
Hindsight bound,10.56111111,0.3980034611
Hindsight bound,10.56388889,0.3980312944
Hindsight bound,10.56666667,0.3980467917
Hindsight bound,10.56944444,0.3980575611
Hindsight bound,10.57222222,0.3980854083
Hindsight bound,10.575,0.3981009056
Hindsight bound,10.57777778,0.3981111611
Hindsight bound,10.58055556,0.3981292639
Hindsight bound,10.58333333,0.3981482
Hindsight bound,10.58611111,0.3981636972
Hindsight bound,10.58888889,0.3981775944
Hindsight bound,10.59166667,0.3981930917
Hindsight bound,10.59444444,0.3982075528
Hindsight bound,10.59722222,0.39822145
Hindsight bound,10.6,0.3982474944
Hindsight bound,10.60277778,0.3982629917
Hindsight bound,10.60555556,0.3982737611
Hindsight bound,10.60833333,0.3983016083
Hindsight bound,10.61111111,0.3983171056
