model_label,mean_final_steps,mean_final_reward
Hindsight bound,9.695890411,0.5590273973
Hindsight bound,9.698630137,0.5590730594
Hindsight bound,9.701369863,0.5591643836
Hindsight bound,9.704109589,0.5591796043
Hindsight bound,9.706849315,0.559194825
Hindsight bound,9.709589041,0.5592100457
Hindsight bound,9.712328767,0.559347032
Hindsight bound,9.715068493,0.5594840183
Hindsight bound,9.717808219,0.5595296804
Hindsight bound,9.720547945,0.5595753425
Hindsight bound,9.723287671,0.5596210046
Hindsight bound,9.726027397,0.55964383565
Hindsight bound,9.728767123,0.5596666667
Hindsight bound,9.731506849,0.5597123288
Hindsight bound,9.734246575,0.5598493151
Hindsight bound,9.736986301,0.5598949772
Hindsight bound,9.739726027,0.5599406393
Hindsight bound,9.742465753,0.5600776256
Hindsight bound,9.745205479,0.560111872171875
Hindsight bound,9.747945205,0.56014611874375
Hindsight bound,9.750684932,0.560180365328125
Hindsight bound,9.753424658,0.5602146119
Hindsight bound,9.756164384,0.5603059361
Hindsight bound,9.75890411,0.5603972603
Hindsight bound,9.761643836,0.5604429224
Hindsight bound,9.764383562,0.5604885845
Hindsight bound,9.767123288,0.5605342466
Hindsight bound,9.769863014,0.5605799087
Hindsight bound,9.77260274,0.5606255708
Hindsight bound,9.775342466,0.5607625571
Hindsight bound,9.778082192,0.5608082192
Hindsight bound,9.780821918,0.5608538813
Hindsight bound,9.783561644,0.5608995434
Hindsight bound,9.78630137,0.5609908676
Hindsight bound,9.789041096,0.5610060883
Hindsight bound,9.791780822,0.561021309
Hindsight bound,9.794520548,0.5610365297
Hindsight bound,9.797260274,0.561173516
Hindsight bound,9.8,0.5613105023
Hindsight bound,9.802739726,0.56133333335
Hindsight bound,9.805479452,0.5613561644
Hindsight bound,9.808219178,0.5614474886
Hindsight bound,9.810958904,0.56147031965
Hindsight bound,9.81369863,0.5614931507
Hindsight bound,9.816438356,0.5615388128
Hindsight bound,9.819178082,0.5616757991
Hindsight bound,9.821917808,0.5617214612
Hindsight bound,9.824657534,0.5617671233
Hindsight bound,9.82739726,0.5618127854
Hindsight bound,9.830136986,0.5619041096
Hindsight bound,9.832876712,0.56192694065
Hindsight bound,9.835616438,0.5619497717
Hindsight bound,9.838356164,0.5619954338
Hindsight bound,9.84109589,0.5621324201
Hindsight bound,9.843835616,0.5622237443
Hindsight bound,9.846575342,0.5622694063944444
Hindsight bound,9.849315068,0.5623150684888889
Hindsight bound,9.852054795,0.5623607306
Hindsight bound,9.854794521,0.5624063927
Hindsight bound,9.857534247,0.56242922375
Hindsight bound,9.860273973,0.5624520548
Hindsight bound,9.863013699,0.5625890411
Hindsight bound,9.865753425,0.5626803653
Hindsight bound,9.868493151,0.56270319635
Hindsight bound,9.871232877,0.5627260274
Hindsight bound,9.873972603,0.5627716895
Hindsight bound,9.876712329,0.5628173516
Hindsight bound,9.879452055,0.5628630137
Hindsight bound,9.882191781,0.5629086758
Hindsight bound,9.884931507,0.5630456621
Hindsight bound,9.887671233,0.5631369863
Hindsight bound,9.890410959,0.5631826484
Hindsight bound,9.893150685,0.5632283105
Hindsight bound,9.895890411,0.5632739726
Hindsight bound,9.898630137,0.5633196347
Hindsight bound,9.901369863,0.5633652968
Hindsight bound,9.904109589,0.5634109589
Hindsight bound,9.906849315,0.563456621
Hindsight bound,9.909589041,0.5635936073
Hindsight bound,9.912328767,0.5636240486999999
Hindsight bound,9.915068493,0.5636544901
Hindsight bound,9.917808219,0.5636849315
Hindsight bound,9.920547945,0.5637762557
Hindsight bound,9.923287671,0.56379908675
Hindsight bound,9.926027397,0.5638219178
Hindsight bound,9.928767123,0.5639589041
Hindsight bound,9.931506849,0.5640045662
Hindsight bound,9.934246575,0.5640502283
Hindsight bound,9.939726027,0.5641415525
Hindsight bound,9.942465753,0.5642328767
Hindsight bound,9.945205479,0.5642785387944445
Hindsight bound,9.947945205,0.5643242008888889
Hindsight bound,9.950684932,0.564369863
Hindsight bound,9.953424658,0.5645068493
Hindsight bound,9.956164384,0.56452207
Hindsight bound,9.95890411,0.5645372906999999
Hindsight bound,9.961643836,0.5645525114
Hindsight bound,9.964383562,0.5646894977
Hindsight bound,9.967123288,0.5647199391
Hindsight bound,9.969863014,0.5647503805
Hindsight bound,9.97260274,0.5647808219
Hindsight bound,9.975342466,0.5648721461
Hindsight bound,9.978082192,0.56489497715
Hindsight bound,9.980821918,0.5649178082
Hindsight bound,9.983561644,0.5650547945
Hindsight bound,9.98630137,0.5651004566
Hindsight bound,9.989041096,0.5651461187
Hindsight bound,9.994520548,0.5652374429
Hindsight bound,9.997260274,0.5653287671
Hindsight bound,10.0,0.5654200913
Hindsight bound,10.00273973,0.5654429223916667
