model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Support ZOIB,14.167115902964959,0.5482768579129762,policy2,0.0001,0.45
Support ZOIB,14.210242587601078,0.5498491849570013,policy2,0.0,0.45
Support ZOIB,14.393530997304582,0.5511968938518801,policy2,0.0002,0.4
Support ZOIB,14.528301886792454,0.5529938390450517,policy2,0.0001,0.4
Support ZOIB,14.598382749326145,0.5554197150558333,policy2,5e-05,0.4
Support ZOIB,14.719676549865229,0.557601719933256,policy2,0.0,0.4
Support ZOIB,14.986522911051212,0.5605859324862017,policy2,0.0002,0.35
Support ZOIB,14.991913746630727,0.5610351687844944,policy2,0.0005,0.3
Support ZOIB,15.115902964959568,0.5614844050827874,policy2,0.001,0.2
Support ZOIB,15.180592991913747,0.5632171736619173,policy2,0.0001,0.35
Support ZOIB,15.215633423180593,0.5638910281093567,policy2,5e-05,0.35
Support ZOIB,15.25876010781671,0.5644044410216913,policy2,0.001,0.18
Support ZOIB,15.264150943396226,0.5652387370042353,policy2,0.0,0.35
Support ZOIB,15.35309973045822,0.5663618277499675,policy2,0.0005,0.25
Support ZOIB,15.358490566037736,0.5683833910922856,policy2,0.0002,0.3
Support ZOIB,15.377358490566039,0.5690572455397249,policy2,0.0001,0.3
Support ZOIB,15.501347708894878,0.5708541907328966,policy2,5e-05,0.3
Support ZOIB,15.768194070080863,0.5713034270311894,policy2,0.0005,0.18
Support ZOIB,15.951482479784367,0.5733249903735075,policy2,0.0001,0.25
Support ZOIB,16.274932614555254,0.5746726992683862,policy2,0.0002,0.2
Support ZOIB,17.11590296495957,0.5750577589526372,policy2,0.0005,0.05
Support ZOIB,17.1455525606469,0.575121935566679,policy2,0.0001,0.18
Support ZOIB,17.148247978436657,0.5756610191246304,policy2,5e-05,0.2
Support ZOIB,17.175202156334233,0.5762001026825819,policy2,0.0,0.2
Support ZOIB,17.444743935309972,0.576585162366833,policy2,0.0001,0.15
Support ZOIB,17.61185983827493,0.5774836349634188,policy2,0.0002,0.1
Support ZOIB,17.92452830188679,0.5794602746759075,policy1,0.0,1.0
Scalar Head,9.455525606469003,0.4751083368799354,common_support_interpolation,0.02,1.0
Scalar Head,9.584905660377359,0.48044923629829267,policy1,0.015,1.0
Scalar Head,10.102425876010782,0.49231356693620815,policy1,0.01,1.0
Scalar Head,10.919137466307278,0.5060152740341417,policy1,0.0075,1.0
Scalar Head,11.444743935309972,0.5130952380952378,policy1,0.005,1.0
Scalar Head,14.924528301886792,0.5525446027467587,policy1,0.002,1.0
Scalar Head,16.754716981132077,0.5751668591965082,policy1,0.001,1.0
Scalar Head,17.61455525606469,0.5785618020793218,policy1,0.0005,1.0
Scalar Head,17.92452830188679,0.5790999497283185,common_support_interpolation,0.0005,1.0
