model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
ZOIB Regression,29.467032967032967,0.3985815576923077,policy2,0.0001,0.12
ZOIB Regression,31.60989010989011,0.39861071094806416,common_support_interpolation,0.0001,0.12
Support ZOIB,8.79945054945055,0.2861529505494506,policy2,0.02,1.5
Support ZOIB,8.804945054945055,0.28889261813186823,policy1,0.03,1.0
Support ZOIB,8.813186813186814,0.2915198846153847,policy2,0.02,0.6
Support ZOIB,8.840659340659341,0.2915344340659342,policy2,0.02,0.5
Support ZOIB,8.868131868131869,0.2915444203296705,policy2,0.02,0.4
Support ZOIB,8.87087912087912,0.29160705219780236,policy2,0.001,1.75
Support ZOIB,8.881868131868131,0.29161318956043975,policy2,0.0075,1.25
Support ZOIB,8.901098901098901,0.29197089560439576,policy2,0.02,0.3
Support ZOIB,8.912087912087912,0.2944480494505496,policy2,0.002,1.5
Support ZOIB,8.925824175824175,0.29709965659340676,policy2,0.01,0.9
Support ZOIB,8.953296703296703,0.29742744230769247,policy2,0.015,0.5
Support ZOIB,8.98076923076923,0.3002656593406595,policy2,0.02,0.15
Support ZOIB,9.010989010989011,0.30045407142857156,policy2,0.002,1.25
Support ZOIB,9.032967032967033,0.30229222802197814,policy2,0.001,1.25
Support ZOIB,9.142857142857142,0.30303329120879136,policy2,0.0,1.25
Support ZOIB,9.228021978021978,0.3076031620879122,policy2,0.002,1.0
Support ZOIB,9.252747252747254,0.31029733516483526,policy2,0.001,1.0
Support ZOIB,9.326923076923077,0.3104346978021979,policy2,0.0002,1.0
Support ZOIB,9.340659340659341,0.31057206043956054,policy2,0.0,1.0
Support ZOIB,9.406593406593407,0.31260531318681334,policy2,0.001,0.9
Support ZOIB,9.434065934065934,0.31279739835164855,policy2,0.0005,0.9
Support ZOIB,9.494505494505495,0.3128163763736266,policy2,0.002,0.75
Support ZOIB,9.557692307692308,0.31307212362637377,policy2,0.0001,0.9
Support ZOIB,9.563186813186814,0.31309110164835185,policy2,0.0,0.9
